LGA,total_dentist+nurse,total_medical_person_per_100000
Alpine,116917.1833,1343.116892
Ararat,23590,1653.2429
Ballarat,214650,2461.681808
Banyule,260474,4526.363476
Bass Coast,70654,1075.664506
Baw Baw,104030,1284.244929
Bayside,211436,1296.846327
Benalla,118211.1833,1224.245371
Boroondara,362578,1334.885183
Brimbank,417428,1236.141323
Buloke,110371.1833,1591.044036
Campaspe,75184,1513.619919
Cardinia,214240,323.935773
Casey,680838,671.2316293
Central Goldfields,26418,1302.142479
Colac-Otway,43006,1353.29954
Corangamite,120327.1833,1151.475802
Darebin,323218,422.0062001
East Gippsland,93636,1183.305566
Frankston,283690,2307.448271
Gannawarra,114734.1833,1116.734867
Glen Eira,307716,1182.258966
Glenelg,39330,1408.593949
Golden Plains,127307.1833,292.7107998
Greater Bendigo,232090,2182.773924
Greater Dandenong,332188,1639.433092
Greater Geelong,504434,2043.478433
Greater Shepparton,132014,1943.73324
Hepburn,119999.1833,1009.792435
Hindmarsh,109832.1833,1525.14925
Hobsons Bay,192940,627.1379704
Horsham ,39750,2103.144654
Hume,448788,458.1227662
Indigo,120677.1833,764.3424482
Kingston,326862,794.830846
Knox,326406,1259.780764
Latrobe,150422,1821.542062
Loddon,111700.1833,800.1962103
Macedon Ranges,98776,700.5750385
Manningham,251016,603.1488033
Mansfield,17958,1135.983963
Maribyrnong,182774,2059.373872
Maroondah,234996,1447.684216
Melbourne,339922,8438.406458
Melton,313426,408.3898592
Mildura ,111030,1540.124291
Mitchell,88598,751.7099709
Moira,59598,936.2730293
Monash,400154,2690.464171
Moonee Valley,255766,574.744102
Moorabool,68316,723.1102524
Moreland,363450,703.260421
Mornington Peninsula,331644,907.5997154
Mount Alexander,39028,1363.123911
Moyne,121074.1833,510.793576
Murrindindi,118665.1833,662.6402859
Nillumbik,129882,466.5773548
Northern Grampians,115618.1833,1533.257359
Port Phillip,226400,514.1342756
Pyrenees,111540.1833,1047.613584
Queenscliffe,107169.1833,1563.875852
South Gippsland,59152,1044.766027
Southern Grampians,32270,1946.07995
Stonnington,232414,3378.453966
Strathbogie,114832.1833,637.2545936
Surf Coast,64502,638.739884
Swan Hill ,41518,1305.457874
Towong,110241.1833,1194.563846
Wangaratta ,58174,2650.668684
Warrnambool,69724,2742.240835
Wellington,88038,1328.97158
West Wimmera,108049.1833,1855.337463
Whitehorse,352392,2410.95144
Whittlesea,446644,1183.940678
Wodonga,82858,1660.672476
Wyndham,510644,735.9334487
Yarra,197042,5575.461069
Yarra Ranges,316346,417.8968598
Yarriambiack,110845.1833,1256.383557
Unincorporated Vic,185956.6264,1461.725787
